GEN,BEZ,Coronavirus Infektionen / Coronavirus Cases,Main Source / Hauptquelle,Crowdsourced Infektionen,Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) (Man kann =JETZT() oder =NOW() benutzen",Unnamed: 10,Contributor,Crowdsourced Infektionen.1,Zeit,Main Source / Hauptquelle.1,Contributor.1,Crowdsourced Infektionen.2,Zeit.1,Main Source / Hauptquelle.2,Contributor.2
Osnabrück,Landkreis,47,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,123,,522.0,,,18/03/2020,https://www.landkreis-osnabrueck.de/sites/default/files/pdf_dateien/2020-03-18_dashboard_corona_1200.pdf,@JohannesBrand98,,,,,,,,
Ostalbkreis,Landkreis,96,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,109,,,,,18/03/2020 19:35,,,,,,,,,,
Ostallgäu,Landkreis,14,https://www.landkreis-ostallgaeu.de/aktuelles.html,14,,,,,,,,,,,,,,,
Osterholz,Landkreis,20,https://www.landkreis-osterholz.de/portal/meldungen/landkreis-gibt-nochmals-allgemeine-hinweise-zum-umgang-mit-dem-coronavirus-901005077-21000.html?rubrik=901000054,20,,,,,,,,,,,,,,,
Ostholstein,Kreis,4,"https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255",4,,,,,,,,,,,,,,,
Ostprignitz-Ruppin,Landkreis,0,https://www.ostprignitz-ruppin.de/,1,,,,,,,,,,,,,,,
Paderborn,Kreis,52,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/ausschuesse-abgesat.php,59,,,,,,,,,,,,,,,
Passau,Kreisfreie Stadt,3,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,15,,,,,,,,,,,,,,,
Passau,Landkreis,15,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,15,,,,,,,,,,,,,,,
Peine,Landkreis,8,"https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1",8,,,,,,,,,,,,,,,
Pfaffenhofen a.d. Ilm,Landkreis,11,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,16,,,,,,,,,,,,,,,
Pforzheim,Stadtkreis,7,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",7,,,,,,,,,,,,,,,
Pinneberg,Kreis,27,https://www.kreis-pinneberg.de/Coronavirus.html,54,,,,,,,,,,,,,,,
Pirmasens,Kreisfreie Stadt,0,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,0,,,,,,,,,,,,,,,
Plön,Kreis,6,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Coronavirus,6,,,,,,,,,,,,,,,
Potsdam,Kreisfreie Stadt,13,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,17,,,,,,,,,,,,,,,
Potsdam-Mittelmark,Landkreis,8,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,14,,,,,,,,,,,,,,,
Prignitz,Landkreis,0,https://www.landkreis-prignitz.de/de/aktuelles/index.php,1,,,,,18/03/2020 19:35,,,,,,,,,,
Rastatt,Landkreis,39,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E937746122/kreis-rastatt/Objekte/02_Landratsamt/pdf-Dateien/Gesundheitsamt/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,58,,,,,,,,,,,,,,,
Ravensburg,Landkreis,70,"https://www.schwaebische.de/landkreis/landkreis-ravensburg/ravensburg_artikel,-schon-70-f%C3%A4lle-warum-die-corona-regeln-im-kreis-ravensburg-besonders-streng-sind-_arid,11201157.html",93,5.0,,,,18.03.2020 19:45,https://www.rv.de/Startseite,,,,,,,,,
